date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:20	268280/268280	---M--	200	added ('OK')	application/octet-stream	etag:%2260b57f2a-417f8%22	https://aiic.vn/wp-content/themes/apply/webfonts/SourceSansPro-SemiBold.ttf	D:/FPOLY/CloneWeb/aiic.vn/wp-content/themes/apply/webfonts/SourceSansPro-SemiBold.ttf	(from https://aiic.vn/)
16:17:21	269108/269108	---M--	200	added ('OK')	application/octet-stream	etag:%2260b57f2a-41b34%22	https://aiic.vn/wp-content/themes/apply/webfonts/SourceSansPro-Regular.ttf	D:/FPOLY/CloneWeb/aiic.vn/wp-content/themes/apply/webfonts/SourceSansPro-Regular.ttf	(from https://aiic.vn/)
16:17:21	219855/219855	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2005%20Mar%202024%2009:21:16%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/FPOLY/CloneWeb/connect.facebook.net/en_US/fbevents.js	(from https://aiic.vn/)
16:17:21	23861/23861	---M-Z	200	added ('OK')	application/javascript	etag:%2265e6c7ae-1e00%22	https://aiic.vn/wp-content/cache/min/1/ztr/ztracker.js?ver=1709623214	D:/FPOLY/CloneWeb/aiic.vn/wp-content/cache/min/1/ztr/ztrackerc6f6.js	(from https://aiic.vn/)
16:17:21	219852/219852	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2005%20Mar%202024%2009:21:17%20GMT	https://connect.facebook.net/en_US/fbevents.js?v=next	D:/FPOLY/CloneWeb/connect.facebook.net/en_US/fbevents2f15.js	(from https://aiic.vn/)
16:17:22	5158/5158	---M--	200	added ('OK')	image/png	etag:%2260beec07-1426%22	https://aiic.vn/wp-content/uploads/2021/03/Group-112.png	D:/FPOLY/CloneWeb/aiic.vn/wp-content/uploads/2021/03/Group-112.png	(from https://aiic.vn/)
16:17:22	264023/264023	---M--	200	added ('OK')	image/png	etag:%2261c16772-40757%22	https://aiic.vn/wp-content/uploads/2021/12/Ally_Logo_Digital-Version_Preview-02.png	D:/FPOLY/CloneWeb/aiic.vn/wp-content/uploads/2021/12/Ally_Logo_Digital-Version_Preview-02.png	(from https://aiic.vn/)
16:17:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Mar%202024%2009:21:18%20GMT	https://aiic.vn/dau-tu-dinh-cu-chau-au	D:/FPOLY/CloneWeb/aiic.vn/dau-tu-dinh-cu-chau-au	(from https://aiic.vn/)
16:17:22	330458/330458	---M--	200	added ('OK')	image/jpeg	etag:%22640afad7-50ada%22	https://aiic.vn/wp-content/uploads/2023/03/banner-2023-scaled.jpg	D:/FPOLY/CloneWeb/aiic.vn/wp-content/uploads/2023/03/banner-2023-scaled.jpg	(from https://aiic.vn/)
16:17:23	758564/758564	---M--	200	added ('OK')	image/jpeg	etag:%2264410690-b9324%22	https://aiic.vn/wp-content/uploads/2023/04/Banner-dau-tu-dinh-cu-Chau-Au-Caribbean-scaled.jpg	D:/FPOLY/CloneWeb/aiic.vn/wp-content/uploads/2023/04/Banner-dau-tu-dinh-cu-Chau-Au-Caribbean-scaled.jpg	(from https://aiic.vn/)
